collection_url,image_url,image_alt,image_name,image_path,image_size,image_width,image_height,image_format,image_mode,designer,ready_to_wear,menswear,womenswear,season,year,location
https://door11.com/john-richmond-menswear-spring-summer-2015-milan/,https://media.door11.com/wp-content/uploads/2022/07/John-Richmond-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-009.jpg,,John-Richmond-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-009.jpg,john-richmond-menswear-spring-summer-2015-milan/John-Richmond-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-009.jpg,328983,1707,2560,JPEG,RGB,John-Richmond,0,1,0,Spring-Summer,2015.0,Milan
https://door11.com/just-cavalli-ready-to-wear-spring-summer-2015-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Just-Cavalli-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-017.jpg,,Just-Cavalli-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-017.jpg,just-cavalli-ready-to-wear-spring-summer-2015-milan-2/Just-Cavalli-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-017.jpg,428110,1706,2560,JPEG,RGB,Just-Cavalli,1,0,0,Spring-Summer,2015.0,Milan
https://door11.com/christian-pellizzari-menswear-spring-summer-2015-milan/,https://media.door11.com/wp-content/uploads/2022/07/Christian-Pellizzari-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-006.jpg,,Christian-Pellizzari-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-006.jpg,christian-pellizzari-menswear-spring-summer-2015-milan/Christian-Pellizzari-Menswear-Spring-Summer-2015-Milan-Fashion-Week-Runway-006.jpg,373231,1707,2560,JPEG,RGB,Christian-Pellizzari,0,1,0,Spring-Summer,2015.0,Milan
https://door11.com/emporio-armani-ready-to-wear-spring-summer-2015-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Emporio-Armani-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-012.jpg,,Emporio-Armani-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-012.jpg,emporio-armani-ready-to-wear-spring-summer-2015-milan-2/Emporio-Armani-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-012.jpg,267784,1706,2560,JPEG,RGB,Emporio-Armani,1,0,0,Spring-Summer,2015.0,Milan
https://door11.com/emporio-armani-ready-to-wear-spring-summer-2015-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Emporio-Armani-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-015.jpg,,Emporio-Armani-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-015.jpg,emporio-armani-ready-to-wear-spring-summer-2015-milan-2/Emporio-Armani-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-015.jpg,214409,1706,2560,JPEG,RGB,Emporio-Armani,1,0,0,Spring-Summer,2015.0,Milan
https://door11.com/bottega-veneta-ready-to-wear-spring-summer-2015-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Bottega-Veneta-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-013.jpg,,Bottega-Veneta-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-013.jpg,bottega-veneta-ready-to-wear-spring-summer-2015-milan-2/Bottega-Veneta-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-013.jpg,227086,1706,2560,JPEG,RGB,Bottega-Veneta,1,0,0,Spring-Summer,2015.0,Milan
https://door11.com/aquilano-rimondi-ready-to-wear-spring-summer-2015-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Aquilano-e-Rimondi-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-011.jpg,,Aquilano-e-Rimondi-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-011.jpg,aquilano-rimondi-ready-to-wear-spring-summer-2015-milan-2/Aquilano-e-Rimondi-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-011.jpg,379407,1706,2560,JPEG,RGB,Aquilano-e-Rimondi,1,0,0,Spring-Summer,2015.0,Milan
https://door11.com/roccobarocco-ready-to-wear-spring-summer-2015-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Rocco-Barocco-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-010.jpg,,Rocco-Barocco-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-010.jpg,roccobarocco-ready-to-wear-spring-summer-2015-milan-2/Rocco-Barocco-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-010.jpg,337137,1706,2560,JPEG,RGB,Rocco-Barocco,1,0,0,Spring-Summer,2015.0,Milan
https://door11.com/moschino-ready-to-wear-spring-summer-2015-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Moschino-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-020.jpg,,Moschino-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-020.jpg,moschino-ready-to-wear-spring-summer-2015-milan-2/Moschino-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-020.jpg,262176,1706,2560,JPEG,RGB,Moschino,1,0,0,Spring-Summer,2015.0,Milan
https://door11.com/costume-national-ready-to-wear-spring-summer-2015-milan-2/,https://media.door11.com/wp-content/uploads/2022/06/Costume-National-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-006.jpg,,Costume-National-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-006.jpg,costume-national-ready-to-wear-spring-summer-2015-milan-2/Costume-National-Ready-To-Wear-Spring-Summer-2015-Milan-Fashion-Week-Runway-006.jpg,260698,1706,2560,JPEG,RGB,Costume-National,1,0,0,Spring-Summer,2015.0,Milan
